FECHA;DESCRIPCION;CARGOS / DEBE;ABONOS / HABER;CUENTA_ORIGEN
07MAY;TRAN.CTAS.TERC.BM;0.0;1170.0;Ahorro
07MAY;Pago YAPE a 191901;2.0;0.0;Yape
07MAY;Pago YAPE a 194928;3.0;0.0;Yape
07MAY;Pago YAPE a 191720;300.0;0.0;Yape
08MAY;Pago YAPE a 194928;3.0;0.0;Yape
09MAY;Pago YAPE a 194928;3.0;0.0;Yape
10MAY;CLAR000963438681;5.0;0.0;Yape
12MAY;Pago YAPE a 194740;72.0;0.0;Yape
12MAY;Pago YAPE a 375924;3.0;0.0;Yape
12MAY;IZI*ALTA VIDDA GAS;23.34;0.0;Ahorro
12MAY;Pago YAPE a 194061;2.0;0.0;Yape
13MAY;Pago YAPE de 19104;0.0;2.0;Yape
13MAY;Giro/Retiro de efe;200.0;0.0;Yape
13MAY;RETIRO EFECTIVO;600.0;0.0;Ahorro
15MAY;CLAR000963438681;5.0;0.0;Yape
16MAY;CLAR000940708423;5.0;0.0;Yape
16MAY;Pago YAPE a 194752;1.2;0.0;Yape
17MAY;Giro/Retiro de efe;100.0;0.0;Yape
17MAY;Pago YAPE a 191992;33.0;0.0;Yape
17MAY;Pago YAPE a 191351;12.5;0.0;Yape
17MAY;TRAN.CEL.BM.INTERB;50.0;0.0;Ahorro
18MAY;TRAN.CTAS.TERC.BM;0.0;500.0;Ahorro
18MAY;TRAN.CTAS.TERC.BM;0.0;400.0;Ahorro
19MAY;ABON PLIN-HELBERT *;0.0;4.0;Yape
20MAY;TRAN.CEL.BM.INTERB;20.0;0.0;Ahorro
20MAY;Pago YAPE a 375924;3.0;0.0;Yape
20MAY;CLAR000963438681;5.0;0.0;Yape
20MAY;Pago YAPE a 194971;10.0;0.0;Yape
20MAY;Pago YAPE a 194061;2.0;0.0;Yape
21MAY;Pago YAPE a 194061;2.0;0.0;Yape
22MAY;Giro/Retiro de efe;300.0;0.0;Yape
23MAY;Pago YAPE a 191053;11.0;0.0;Yape
23MAY;Pago YAPE de 19197;0.0;100.0;Yape
23MAY;Pago YAPE a 191992;26.0;0.0;Yape
23MAY;Pago YAPE a 191901;3.5;0.0;Yape
23MAY;Pago YAPE a 375924;3.0;0.0;Yape
24MAY;CLAR000963438681;5.0;0.0;Yape
24MAY;Pago YAPE a 191709;3.0;0.0;Yape
24MAY;Pago YAPE a 194769;18.2;0.0;Yape
24MAY;Pago YAPE de 19197;0.0;61.5;Yape
25MAY;RETIRO EFECTIVO;20.0;0.0;Ahorro
25MAY;Pago YAPE de 19197;0.0;26.0;Yape
25MAY;Pago YAPE a 191992;39.0;0.0;Yape
25MAY;Pago YAPE a 194967;20.0;0.0;Yape
26MAY;Giro/Retiro de efe;100.0;0.0;Yape
27MAY;Giro/Retiro de efe;500.0;0.0;Yape
27MAY;Pago YAPE a 375924;3.0;0.0;Yape
27MAY;Pago YAPE a 191994;17.5;0.0;Yape
28MAY;Pago YAPE a 194061;4.0;0.0;Yape
28MAY;CLAR000963438681;5.0;0.0;Yape
29MAY;TRAN.CEL.BM.;234.0;0.0;Ahorro
29MAY;TRAN.CEL.BM.;200.0;0.0;Ahorro
29MAY;TRAN.CTAS.TERC.BM;830.0;0.0;Ahorro
29MAY;Pago YAPE a 375924;3.0;0.0;Yape
29MAY;CLAR000940708423;5.0;0.0;Yape
29MAY;Pago YAPE a 191923;10.8;0.0;Yape
29MAY;Pago YAPE a 191041;24.0;0.0;Yape
29MAY;Pago YAPE a 194046;8.0;0.0;Yape
30MAY;Pago YAPE a 191004;10.0;0.0;Yape
30MAY;TRAN.CEL.BM.;0.0;484.0;Yape
30MAY;Pago YAPE de 19196;0.0;500.0;Yape
30MAY;Pago YAPE de 19196;0.0;500.0;Yape
30MAY;Pago YAPE a 191725;15.0;0.0;Yape
30MAY;Pago YAPE a 375924;3.0;0.0;Yape
31MAY;Giro/Retiro de efe;500.0;0.0;Yape
31MAY;Pago YAPE a 194767;32.0;0.0;Yape
31MAY;WOW0020240762146;67.4;0.0;Yape
31MAY;IMPUESTO ITF *;0.05;0.0;Ahorro
31MAY;Pago YAPE a 375924;3.0;0.0;Yape
31MAY;TRAN.CTAS.TERC.BM;1725.1;0.0;Ahorro
01JUN;Pago YAPE a 191700;4.0;0.0;Yape
01JUN;Pago YAPE a 191701;12.0;0.0;Yape
03JUN;IMPUESTO ITF *;0.05;0.0;Ahorro
03JUN;Pago YAPE de 19100;0.0;15.0;Yape
03JUN;PITA050010091184;220.0;0.0;Ahorro
03JUN;TRAN.CTAS.TERC.BM;0.0;1000.0;Ahorro
04JUN;CLAR000940708423;5.0;0.0;Yape
04JUN;Pago YAPE a 191720;95.0;0.0;Yape
04JUN;Pago YAPE a 191720;300.0;0.0;Yape
05JUN;Pago YAPE a 194061;4.0;0.0;Yape
06JUN;Pago YAPE a 191992;26.0;0.0;Yape
06JUN;Pago YAPE a 191992;13.0;0.0;Yape
07JUN;TRAN.CEL.BM.;323.0;0.0;Ahorro
09JUN;CLAR000963438681;5.0;0.0;Yape
10JUN;Pago YAPE de 19103;0.0;6.0;Yape
10JUN;Pago YAPE de 19197;0.0;30.0;Yape
10JUN;PLIN-Jose Luis Gut;50.0;0.0;Yape
10JUN;Pago YAPE a 191989;40.0;0.0;Yape
10JUN;Pago YAPE de 19100;0.0;23.5;Yape
10JUN;Pago YAPE a 194967;20.0;0.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
11JUN;Pago YAPE de 19377;0.0;67.5;Yape
11JUN;CLAR000963438681;5.0;0.0;Yape
11JUN;Pago YAPE a 375924;3.0;0.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
13JUN;Pago YAPE a 194061;2.5;0.0;Yape
13JUN;Pago YAPE a 191941;11.0;0.0;Yape
13JUN;Pago YAPE a 191992;39.0;0.0;Yape
14JUN;IMPUESTO ITF *;0.05;0.0;Ahorro
14JUN;E S PROCERES;21.46;0.0;Ahorro
14JUN;TRAN.CTAS.TERC.BM;0.0;1260.0;Ahorro
14JUN;PLIN-Jose Luis Gut;73.0;0.0;Yape
15JUN;Pago YAPE a 191992;13.0;0.0;Yape
17JUN;Pago YAPE a 194061;4.0;0.0;Yape
17JUN;Pago YAPE a 193780;10.0;0.0;Yape
18JUN;TRAN.CTAS.TERC.BM;455.0;0.0;Ahorro
19JUN;ABON PLIN-CECILIA *;0.0;450.0;Yape
19JUN;ABON PLIN-CECILIA *;0.0;450.0;Yape
20JUN;Pago YAPE a 191069;10.0;0.0;Yape
20JUN;CLAR000963438681;5.0;0.0;Yape
22JUN;Pago YAPE a 191994;22.5;0.0;Yape
22JUN;Pago YAPE a 191992;13.0;0.0;Yape
22JUN;Pago YAPE de 19197;0.0;10.0;Yape
22JUN;CLAR000940708423;5.0;0.0;Yape
23JUN;Pago YAPE a 194967;10.0;0.0;Yape
24JUN;PLIN-Jose Luis Gut;30.0;0.0;Yape
24JUN;Pago YAPE a 194061;4.0;0.0;Yape
25JUN;TRAN.CTAS.TERC.BM;6100.0;0.0;Ahorro
25JUN;TRAN.CEL.BM.;15.0;0.0;Ahorro
25JUN;Pago YAPE a 191403;1.3;0.0;Yape
25JUN;PLIN-Jose Luis Gut;50.0;0.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19100;0.0;6.0;Yape
25JUN;IMPUESTO ITF *;0.3;0.0;Ahorro
25JUN;CREDITO YAPE;0.0;200.0;Yape
26JUN;Pago YAPE a 375924;3.0;0.0;Yape
26JUN;TRAN.CEL.BM.;30.0;0.0;Ahorro
28JUN;Pago YAPE de 19107;0.0;100.0;Yape
28JUN;Pago YAPE de 19100;0.0;12.0;Yape
28JUN;Pago YAPE de 19197;0.0;3.0;Yape
28JUN;CLAR000940708423;5.0;0.0;Yape
28JUN;Pago YAPE de 19107;0.0;400.0;Yape
28JUN;Giro/Retiro de efe;500.0;0.0;Yape
29JUN;Pago YAPE de 19100;0.0;22.0;Yape
30JUN;Pago YAPE a 191919;10.0;0.0;Yape
30JUN;CLAR000963438681;5.0;0.0;Yape
30JUN;WOW0020240762146;67.4;0.0;Yape
30JUN;Pago YAPE a 194061;4.0;0.0;Yape
01JUL;Pago YAPE a 375924;3.0;0.0;Yape
01JUL;Pago YAPE a 191004;10.0;0.0;Yape
02JUL;Pago YAPE a 375924;3.0;0.0;Yape
03JUL;PITA050010091184;220.0;0.0;Yape
03JUL;Pago YAPE de 19107;0.0;200.0;Yape
03JUL;Pago YAPE a 375924;3.0;0.0;Yape
03JUL;Pago YAPE a 191901;4.4;0.0;Yape
05JUL;Pago YAPE de 19100;0.0;8.0;Yape
05JUL;CLAR000963438681;5.0;0.0;Yape
06JUL;Pago YAPE a 191992;39.0;0.0;Yape
07JUL;Pago YAPE de 19107;0.0;500.0;Yape
07JUL;Giro/Retiro de efe;500.0;0.0;Yape
07JUL;CLAR000940708423;5.0;0.0;Yape
08JUL;Pago YAPE a 375924;3.0;0.0;Yape
08JUL;Pago YAPE a 191038;4.5;0.0;Yape
09JUL;Pago YAPE a 375924;3.0;0.0;Yape
09JUL;Pago YAPE a 191941;10.0;0.0;Yape
09JUL;Pago YAPE de 19100;0.0;27.0;Yape
09JUL;Pago YAPE a 194967;20.0;0.0;Yape
10JUL;COBRO CREDITO YAPE;154.52;0.0;Yape
10JUL;COBRO CREDITO YAPE;51.79;0.0;Yape
10JUL;Pago YAPE de 19107;0.0;200.0;Yape
11JUL;Pago YAPE a 375924;3.0;0.0;Yape
11JUL;Pago YAPE a 191901;1.5;0.0;Yape
12JUL;Pago YAPE a 191994;8.5;0.0;Yape
13JUL;Pago YAPE a 191992;39.0;0.0;Yape
14JUL;Pago YAPE de 19101;0.0;140.0;Yape
14JUL;CLAR000914304199;5.0;0.0;Yape
15JUL;Giro/Retiro de efe;400.0;0.0;Yape
15JUL;Pago YAPE de 19100;0.0;39.5;Yape
15JUL;Pago YAPE de 19107;0.0;400.0;Yape
16JUL;Pago YAPE de 19197;0.0;10.0;Yape
17JUL;Pago YAPE a 194967;20.0;0.0;Yape
17JUL;Pago YAPE de 19377;0.0;500.0;Yape
17JUL;Pago YAPE de 19377;0.0;500.0;Yape
17JUL;Pago YAPE de 19377;0.0;500.0;Yape
18JUL;Pago YAPE de 19101;0.0;66.0;Yape
18JUL;CLAR000963438681;5.0;0.0;Yape
18JUL;Pago YAPE de 19121;0.0;113.0;Yape
19JUL;PLIN-Jose Luis Gut;35.0;0.0;Yape
21JUL;CLAR000940708423;5.0;0.0;Yape
21JUL;Pago YAPE a 194967;30.0;0.0;Yape
21JUL;Pago GOOGEL;462.5;0.0;Yape
22JUL;Pago YAPE de 19377;0.0;162.5;Yape
26JUL;CLAR000963438681;5.0;0.0;Yape
27JUL;Pago YAPE a 193083;15.0;0.0;Yape
27JUL;Pago YAPE a 191999;56.0;0.0;Yape
27JUL;MAPFRE PERU COMPAI;60.0;0.0;Ahorro
31JUL;Pago YAPE a 194967;20.0;0.0;Yape
31JUL;Pago YAPE de 19197;0.0;23.0;Yape
31JUL;TRAN.CEL.BM.;160.0;0.0;Ahorro
01AGO;Pago YAPE a 191041;22.0;0.0;Yape
01AGO;WOW0020240762146;67.4;0.0;Yape
01AGO;CLAR000963438681;5.0;0.0;Yape
04AGO;YQ-PH028 CHORRILL;19.8;0.0;Yape
05AGO;Pago YAPE a 191400;120.0;0.0;Yape
06AGO;Pago YAPE a 193793;10.0;0.0;Yape
06AGO;Premio Noble NL9PC;0.0;0.5;Yape
06AGO;YC-PAGO DE IMPUEST;40.0;0.0;Yape
07AGO;TRAN.CEL.BM.;300.0;0.0;Ahorro
07AGO;TRAN.CEL.BM.;247.0;0.0;Ahorro
07AGO;Pago YAPE a 191054;37.0;0.0;Yape
07AGO;Pago YAPE de 19107;0.0;100.0;Yape
07AGO;Pago YAPE de 19107;0.0;500.0;Yape
07AGO;PITA050010091184;220.0;0.0;Yape
07AGO;TRAN.CTAS.TERC.BM;566.8;0.0;Yape
09AGO;Pago YAPE a 191992;26.0;0.0;Yape
09AGO;CLAR000963438681;5.0;0.0;Yape
09AGO;Pago YAPE a 191947;10.0;0.0;Yape
10AGO;Pago YAPE a 191992;33.0;0.0;Yape
11AGO;Pago YAPE de 19104;0.0;2.0;Yape
13AGO;Pago YAPE a 194967;15.0;0.0;Yape
13AGO;Pago YAPE a 191191;6.0;0.0;Yape
14AGO;IMPUESTO ITF *;0.05;0.0;Ahorro
14AGO;TRANSF.BCO.INTERBA;0.0;1000.0;Ahorro
14AGO;ABON PLIN-CECILIA *;0.0;500.0;Yape
14AGO;ABON PLIN-CECILIA *;0.0;500.0;Yape
15AGO;Pago YAPE de 19106;0.0;3.4;Yape
15AGO;Pago YAPE a 194009;5.0;0.0;Yape
15AGO;Pago YAPE a 194767;3.4;0.0;Yape
15AGO;YC-PAGO DE IMPUEST;20.0;0.0;Yape
17AGO;Pago YAPE a 193786;12.0;0.0;Yape
17AGO;UNIV000075432353;55.0;0.0;Ahorro
18AGO;CLAR000963438681;5.0;0.0;Yape
20AGO;Pago YAPE a 193793;15.0;0.0;Yape
20AGO;YQ-PCG;15.0;0.0;Yape
20AGO;Google One;517.83;0.0;Ahorro
20AGO;YQ-KSK CINEMARK GA;32.5;0.0;Yape
21AGO;Pago YAPE de 19305;0.0;5.0;Yape
21AGO;Pago YAPE a 191963;7.0;0.0;Yape
21AGO;Pago GOOGEL;75.4;0.0;Yape
21AGO;Pago YAPE a 194967;20.0;0.0;Yape
22AGO;TRAN.CTAS.TERC.BM;986.8;0.0;Ahorro
22AGO;2008Google One *;0.0;517.83;Ahorro
25AGO;YQ-IZI*BOTICA SALU;3.5;0.0;Yape
25AGO;Pago YAPE a 375924;3.0;0.0;Yape
25AGO;Pago YAPE a 194098;10.0;0.0;Yape
25AGO;Pago YAPE a 192172;10.0;0.0;Yape
26AGO;UNIV000075432353;9.4;0.0;Ahorro
27AGO;Pago YAPE a 193782;7.8;0.0;Yape
27AGO;Pago YAPE a 194061;2.0;0.0;Yape
28AGO;CLAR000940708423;5.0;0.0;Yape
28AGO;Pago YAPE a 191919;10.0;0.0;Yape
28AGO;Pago YAPE a 191994;17.5;0.0;Yape
28AGO;Pago YAPE a 191901;3.5;0.0;Yape
28AGO;Pago YAPE de 19100;0.0;8.0;Yape
29AGO;Pago YAPE a 375924;3.0;0.0;Yape
29AGO;CLAR000963438681;5.0;0.0;Yape
29AGO;Pago YAPE a 191919;10.0;0.0;Yape
30AGO;E S PROCERES;22.33;0.0;Ahorro
30AGO;Pago YAPE de 19100;0.0;9.5;Yape
01SET;Pago YAPE a 194061;2.0;0.0;Yape
01SET;Pago YAPE a 194104;30.0;0.0;Yape
01SET;Pago YAPE a 192172;10.0;0.0;Yape
02SET;Pago YAPE de 19197;0.0;15.0;Yape
03SET;Pago YAPE a 375924;3.0;0.0;Yape
03SET;Pago YAPE a 191069;10.0;0.0;Yape
03SET;Pago YAPE a 194061;2.0;0.0;Yape
03SET;WOW0020240762146;67.4;0.0;Yape
04SET;Pago YAPE a 375924;3.0;0.0;Yape
04SET;TRAN.CEL.BM.;10.0;0.0;Ahorro
04SET;IMPUESTO ITF *;0.05;0.0;Ahorro
04SET;DEPOSITO EFECTIVO;0.0;1000.0;Ahorro
05SET;TRAN.CEL.BM.;10.0;0.0;Ahorro
05SET;CLAR000963438681;5.0;0.0;Yape
05SET;Pago YAPE a 191992;33.0;0.0;Yape
05SET;Pago YAPE a 375924;3.0;0.0;Yape
06SET;PITA050010091184;220.0;0.0;Ahorro
08SET;Pago YAPE a 375924;3.0;0.0;Yape
08SET;TRAN.CEL.BM.;10.0;0.0;Ahorro
08SET;Pago YAPE a 193793;10.0;0.0;Yape
09SET;CLAR000940708423;5.0;0.0;Yape
11SET;Pago YAPE a 194061;2.0;0.0;Yape
11SET;TRAN.CEL.BM.;10.0;0.0;Ahorro
11SET;TRAN.CEL.BM.;3.0;0.0;Ahorro
12SET;Pago YAPE de 19100;0.0;61.0;Yape
12SET;Pago YAPE de 19100;0.0;4.0;Yape
12SET;Pago YAPE a 375924;3.5;0.0;Yape
13SET;YC-PAGO DE IMPUEST;50.0;0.0;Yape
15SET;Pago YAPE a 375924;3.0;0.0;Yape
15SET;Pago YAPE a 191069;10.0;0.0;Yape
15SET;CLAR000963438681;5.0;0.0;Yape
16SET;Pago YAPE de 19197;0.0;20.0;Yape
17SET;Pago YAPE a 194061;2.5;0.0;Yape
17SET;Pago YAPE a 194104;30.0;0.0;Yape
18SET;Pago YAPE a 375924;3.0;0.0;Yape
18SET;Pago YAPE a 191069;10.0;0.0;Yape
19SET;TRAN.CEL.BM.;26.0;0.0;Ahorro
20SET;Google One;82.93;0.0;Ahorro
20SET;TRAN.CEL.BM.;26.0;0.0;Ahorro
22SET;Pago YAPE a 194737;5.2;0.0;Yape
22SET;Pago YAPE a 191780;10.0;0.0;Yape
24SET;CLAR000963438681;5.0;0.0;Yape
26SET;Giro/Retiro de efe;300.0;0.0;Yape
29SET;Pago YAPE de 19197;0.0;22.0;Yape
30SET;PLIN-PATRICIA JANE;21.0;0.0;Yape
30SET;CLAR000963438681;5.0;0.0;Yape
01OCT;Pago YAPE a 191340;6.0;0.0;Yape
01OCT;Pago YAPE a 194104;20.0;0.0;Yape
02OCT;WOW002024076214;69.9;0.0;Yape
02OCT;IMPUESTO ITF - LEY;0.15;0.0;Ahorro
02OCT;TRAN.CTAS.TERC.BM;0.0;3490.0;Ahorro
06OCT;CLAR000991990346;5.0;0.0;Yape
06OCT;Pago YAPE a 054888;20.0;0.0;Yape
09OCT;Pago YAPE a 194061;2.0;0.0;Yape
10OCT;Pago YAPE de 19100;0.0;10.0;Yape
11OCT;TRAN.CEL.BM.INTERB;10.0;0.0;Ahorro
11OCT;PLIN-JAQUELIN BENI;10.0;0.0;Yape
11OCT;TRAN.CTAS.TERC.BM;1714.0;0.0;Ahorro
12OCT;IMPUESTO ITF - LEY_________________;0.05;0.0;Ahorro
14OCT;Pago YAPE de 19197;8.0;0.0;Yape
